Method,ArraySize,NumThreads,ExecutionTime,MaxError,Sum
Serial,1000,1,0.225721,0,
Threads,1000,2,0.106243,0.000000e+00,
Tasks,1000,2,0.102653,0.000000e+00,
Taskloop,1000,2,0.190289,0.000000e+00,
OptimizedTasks,1000,2,0.200132,0.000000e+00,
Reduction,1000,2,0.191810,,709057402.078776
Threads,1000,4,0.056131,0.000000e+00,
Tasks,1000,4,0.050700,0.000000e+00,
Taskloop,1000,4,0.192857,0.000000e+00,
OptimizedTasks,1000,4,0.199052,0.000000e+00,
Reduction,1000,4,0.225481,,709057402.078776
Threads,1000,8,0.034881,0.000000e+00,
Tasks,1000,8,0.030523,0.000000e+00,
Taskloop,1000,8,0.197726,0.000000e+00,
OptimizedTasks,1000,8,0.201002,0.000000e+00,
Reduction,1000,8,0.196952,,709057402.078776
Threads,1000,16,0.019802,0.000000e+00,
Tasks,1000,16,0.019380,0.000000e+00,
Taskloop,1000,16,0.201169,0.000000e+00,
OptimizedTasks,1000,16,0.231045,0.000000e+00,
Reduction,1000,16,0.199622,,709057402.078776
Threads,1000,24,0.016665,0.000000e+00,
Tasks,1000,24,0.017076,0.000000e+00,
Taskloop,1000,24,0.225251,0.000000e+00,
OptimizedTasks,1000,24,0.233362,0.000000e+00,
Reduction,1000,24,0.230469,,709057402.078776
Threads,1000,28,0.014090,0.000000e+00,
Tasks,1000,28,0.013574,0.000000e+00,
Taskloop,1000,28,0.212615,0.000000e+00,
OptimizedTasks,1000,28,0.241431,0.000000e+00,
Reduction,1000,28,0.193689,,709057402.078776
Threads,1000,32,0.013198,0.000000e+00,
Tasks,1000,32,0.012959,0.000000e+00,
Taskloop,1000,32,0.208667,0.000000e+00,
OptimizedTasks,1000,32,0.234172,0.000000e+00,
Reduction,1000,32,0.198137,,709057402.078776
Serial,10000,1,1.821084,0,
Threads,10000,2,0.920974,0.000000e+00,
Tasks,10000,2,0.900576,0.000000e+00,
Taskloop,10000,2,0.935312,0.000000e+00,
OptimizedTasks,10000,2,0.934709,0.000000e+00,
Reduction,10000,2,0.934964,,9751625649.082747
Threads,10000,4,0.458863,0.000000e+00,
Tasks,10000,4,0.456481,0.000000e+00,
Taskloop,10000,4,0.544943,0.000000e+00,
OptimizedTasks,10000,4,0.543694,0.000000e+00,
Reduction,10000,4,0.546168,,9751625649.082764
Threads,10000,8,0.234987,0.000000e+00,
Tasks,10000,8,0.229955,0.000000e+00,
